1527574701.370613, optimize | 6. Reading performance files
1527574701.386999, optimize | 7. Run Optimizing Algorithm
1527574701.387031, optimize | 7.1.2 End Optimizing Routine
1527574701.253180, user | execute HybChive Function
1527574701.253333, scheduler | start scheduler
1527574701.271141, scheduler | 4.4 All performance files found. Execute performance optimizing procedure
1527574701.271405, scheduler | 4.5 Start copying HybChive - set specific parameters to shared memory segment
1527574701.274780, scheduler | 4.5.1 End copying HybChive - set specific parameters to shared memory segment
1527574701.393131, scheduler | 7.4 Get the splitting information
1527574701.393297, scheduler | 7.5 Splitting Data arrived in scheduler
1527574701.394636, scheduler | 16.01 All variants started
1527574702.397640, scheduler | 16.01 All variants ended
1527574702.397741, scheduler | 17. copy shared memory segment back to input variable
1527574702.403158, user | end HybChive Function - order timemarks yourself
