1531825929.356021, optimize | 7.1.2 End Optimizing Routine
1531825929.355978, optimize | 7. Run Optimizing Algorithm
1531825929.208335, optimize | 6. Reading performance files
1531825980.287508, user | End Implementation Code from user
1531825948.497734, user | Start Implementation Code from user
1531825948.497668, user | end HybChive Function - order timemarks yourself
1531825948.497434, scheduler | 17. copy shared memory segment back to input variable
1531825948.496980, scheduler | 16.01 All variants ended
1531825929.461174, scheduler | 16.01 All variants started - adjust variant input
1531825929.405354, scheduler | 7.5 Splitting Data arrived in scheduler
1531825929.360394, scheduler | 7.4 Get the splitting information
1531825929.064542, scheduler | 4.5.1 End copying HybChive - set specific parameters to shared memory segment
1531825929.064399, scheduler | 4.5 Start copying HybChive - set specific parameters to shared memory segment
1531825929.064325, scheduler | 4.4 All performance files found. Execute performance optimizing procedure
1531825928.933833, scheduler | start scheduler
1531825928.933416, user | execute HybChive Function
